AU,Shipment name
AU,Shipment name
AU,Shipment name
AU,Shipment name
AU,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
CA,Shipment name
DE,Unnamed: 0
DE,Shipment name
DE,Shipment name
DE,Unnamed: 0
DE,Shipment name
DE,Shipment name
DE,Shipment name
DE,Shipment name
DE,Shipment name
DE,Shipment name
DE,Shipment name
DE,Shipment name
ES,Unnamed: 0
ES,Shipment name
ES,Unnamed: 0
ES,Unnamed: 0
ES,Unnamed: 0
ES,Shipment name
ES,
ES,Shipment name
ES,Shipment name
FR,Shipment name
FR,Shipment name
FR,
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
FR,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
IT,Shipment name
JP,Shipment name
JP,Shipment name,Shipment ID,Created,Last updated,Ship to,SKUs,Units expected,Units received,Status,Next steps
JP,Shipment name,Shipment ID,Created,Last updated,,Ship to,SKUs,Units expected,Units received,Status,Next steps
JP,Shipment name
JP,Shipment name
JP,Shipment name
JP,Shipment name,Shipment ID,Created,Last updated,,Ship to,SKUs,Units expected,Units received,Status,Next steps
JP,Shipment name,Shipment ID,Created,Last updated,,Ship to,SKUs,Units expected,Units received,Status,Next steps
MX,Shipment name
MX,
MX,Shipment name
MX,
NL,
NL,Shipment name
NL,Shipment name
NL,Shipment name
UK,Shipment name
UK,Shipment name
UK,Shipment name
UK,Shipment name
UK,Shipment name
UK,
UK,
UK,
UK,Shipment name
UK,Shipment name
UK,Shipment name
UK,Shipment name
UK,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Shipment name
UK,Shipment name
UK,Shipment name
UK,Shipment name
UK,Shipment name
US,Shipment name
US,
US,Shipment name
US,Shipment name
US,
US,
US,
US,
US,Shipment name
US,Shipment name
US,Shipment name
US,Unnamed: 0
US,Shipment name
US,Shipment name
US,
US,Shipment name
US,Shipment name
US,Shipment name
US,Shipment name
US,Shipment name
US,Shipment name
US,Shipment name
